id,trigger,conditions,script,text,options,notes
sunrider_findSunrider_intro3,DialogOptionSelected,$option == sunrider_findSunrider_intro3,Highlight Sunrider,"""I’d like to ask you something. I am..."" she pauses for a moment to correct herself, but with clear sadness in her face. 

""I was the first officer of an assault carrier, the Sunrider. The salvage fleet that found me could not recover it.""","sunrider_findSunrider_intro4_doit:""I guess you want me to do it instead.""
sunrider_findSunrider_intro4_payment:""What's the payment?""
sunrider_findSunrider_introLeave:Decline",
sunrider_findSunrider_intro3Alt,DialogOptionSelected,$option == sunrider_findSunrider_intro3Alt,"$option = sunrider_findSunrider_intro3
FireBest DialogOptionSelected","""No, I am not. These are scars of war,"" apparently indicating the single glove and eyepatch. ""But that doesn't matter right now, because...""",,
sunrider_findSunrider_intro4_doit,DialogOptionSelected,$option == sunrider_findSunrider_intro4_doit,,"""That's right. The problem is... I don’t know the location of the Sunrider or the salvage fleet, but I know the name of the captain. It’s Jinta Suzuki.""","sunrider_findSunrider_intro5:""Then how are we supposed to find them?""",
sunrider_findSunrider_intro4_payment,DialogOptionSelected,$option == sunrider_findSunrider_intro4_payment,,"""The ship itself will be yours, and I may even work under your wing if you desire.

""The problem is... I don’t know the location of the Sunrider or the salvage fleet. I only have the captain's name, one Jinta Suzuki.""","sunrider_findSunrider_intro5:""Then how are we supposed to find them?""",
sunrider_findSunrider_intro5,DialogOptionSelected,$option == sunrider_findSunrider_intro5,,"For a heartbeat, her face flickers with... what looked like distaste.

""I think we’ll have to ask the pirates, I'm afraid. They're a good source of information after all. Besides, scavenge and salvage fleets may do... questionable things if they’re far away from civilization, right? 

""But before that, I want to make a deal.""","sunrider_findSunrider_intro6:""What deal?""
sunrider_findSunrider_introLeave:Decline",
sunrider_findSunrider_intro6,DialogOptionSelected,$option == sunrider_findSunrider_intro6,"Highlight ""10,000""","""I help you get the information you need out of the salvage fleet's captain, and tell you everything I know about the Sunrider herself. As stated before, she'll be yours to keep. But in exchange, I want to see her recovery with my own eyes... eye, and an officer’s contract with a hiring bonus of 10,000 credits. How does that sound? Oh, and before I forget, I can also help you with paperwork anytime until we find my ship.""","sunrider_findSunrider_introAccept:Accept
sunrider_findSunrider_introLeaveRude:""No, I will find it myself. Get out of here!""
sunrider_findSunrider_introLeave:Decline",
sunrider_findSunrider_introAccept,DialogOptionSelected,$option == sunrider_findSunrider_introAccept,"Highlight pirate ""Jinta Suzuki""
BeginMission sunrider_findSunrider","She looks glad as you accept her offer and welcome her as a guest on your fleet. 

Now you need to inquire with some pirate officials if they know a salvage captain named Jinta Suzuki.",backToBar:Return to the bar,
sunrider_findSunrider_pirateOpt,PopulateOptions,"$isPerson
$personFaction.id == pirates
$postId == administrator
$global.sunrider_findSunrider_ref != null
Call $global.sunrider_findSunrider_ref updateData
$sunrider_findSunrider_stage == TALK_TO_PIRATE",,,sunrider_findSunrider_pirate1:Inquire about a salvage captain named Jinta Suzuki,
sunrider_findSunrider_pirate1,DialogOptionSelected,$option == sunrider_findSunrider_pirate1,,"$personName raises an eyebrow. ""Why would I know anything about that?""","sunrider_findSunrider_pirate2:""Because I have credits, of course"".
cutCommLink:Cut the comm link",
sunrider_findSunrider_pirate2,DialogOptionSelected,"$option == sunrider_findSunrider_pirate2
$player.credits >= 100000","Highlight 100,000 $player.creditsStr","""Now you’re speaking my language."" The pirate smirks.

""He did a few jobs for us in the past, but left the business recently. I can tell you where he is enjoying his retirement for 100,000 credits."" 

$HeOrShe puts $hisOrHer hands together to support $hisOrHer chin. ""Do we have a deal?""

You have $player.creditsStr credits.","sunrider_findSunrider_pirate3:Accept
cutCommLink:Decline and cut the comm link",
sunrider_findSunrider_pirate2NotEnough,DialogOptionSelected,"$option == sunrider_findSunrider_pirate2
$player.credits < 100000","SetTextHighlightColors h bad
Highlight 100,000 $player.creditsStr","""Now you’re speaking my language."" The pirate smirks.

""He did a few jobs for us in the past, but left the business recently. I can tell you where he is enjoying his retirement for 100,000 credits."" 

$HeOrShe puts $hisOrHer hands together to support $hisOrHer chin. ""Do we have a deal?""

You have $player.creditsStr credits.","sunrider_findSunrider_pirate3NotEnough:""I don't have that much.""
cutCommLink:Decline and cut the comm link",
sunrider_findSunrider_pirate3,DialogOptionSelected,$option == sunrider_findSunrider_pirate3,"Highlight $sunrider_findSunrider_salvagerMarket $sunrider_findSunrider_salvagerSystem
AddCredits -100000
Call $global.sunrider_findSunrider_ref talkedToPirate","$HisOrHer eyes light up as the transfer goes through. ""Excellent.

""Now I happen to know that our old pal Suzuki is currently dwelling $onOrAt $sunrider_findSunrider_salvagerMarket. That's in the $sunrider_findSunrider_salvagerSystem.

""Thanks for funding my own retirement, captain. Oh, and this conversation never happened"".",cutCommLink:Thank $himOrHer and cut the comm link,
sunrider_findSunrider_pirate3NotEnough,DialogOptionSelected,$option == sunrider_findSunrider_pirate3NotEnough,"EndConversation
ShowDefaultVisual","""Well, that's just too bad then, isn't it? Guess you'll have to find another snitch. Goodbye, captain.""

$HeOrShe terminates the comm link abruptly.",,
sunrider_findSunrider_salvager1,PickGreeting,$id == sunrider_suzuki score:1000,"ShowPersonVisual
Call $global.sunrider_findSunrider_ref updateData","""Hello, may I help you?""","sunrider_findSunrider_salvager2:""Yes, can you tell me where the Sunrider is?""",
sunrider_findSunrider_salvager2,DialogOptionSelected,$option == sunrider_findSunrider_salvager2,,"Confused, he asks ""The what? I honestly don’t know what you’re talking about.""","sunrider_findSunrider_salvagerPay:""Will some credits refresh your memory?""
sunrider_findSunrider_salvagerAva:Put Ava on the comm",
sunrider_findSunrider_salvagerPay,DialogOptionSelected,$option == sunrider_findSunrider_salvagerPay,,"""What do I need more credits for?"" He looks slightly annoyed. 

""I already retired and got all I want for the rest of my life. And even if I didn't, credits can't make me tell you what I don't know.""",sunrider_findSunrider_salvagerAva:Put Ava on the comm,
sunrider_findSunrider_salvagerAva,DialogOptionSelected,$option == sunrider_findSunrider_salvagerAva,ShowSecondPerson sunrider_ava,"Ava steps into view of the camera, her uniform pristine, hands behind her back. ""Hello, Jinta.""

It has exactly the intended effect. 

""Oh... it’s you, young lady. How are things going?"" 

Ava answers with extreme formality ""I’m fine, thank you for asking. And I see you’re enjoying your retirement.""

""That I am. But what brings you... ah, I see.""",sunrider_findSunrider_salvager3:Continue,
sunrider_findSunrider_salvager3,DialogOptionSelected,$option == sunrider_findSunrider_salvager3,"$sunrider_findSunrider_systemName
Call $global.sunrider_findSunrider_ref talkedToSalvager","Jinta looks up and puts a finger on his chin for a few seconds, then says ""If my memory doesn’t fail me, we rescued you in the $sunrider_findSunrider_systemName. Wait, are you really going for it?"" 

""Yes, we are,"" Ava says. ""Thank you, Jinta."" 

""I see. In that case, good luck."" He seems to be about to cut the comm link, then pauses. ""Now I'm going to excuse myself. Burn bright, Ava... and captain.""",cutCommLink:Say goodbye and cut the comm link,
sunrider_findSunrider_wreckStart,OpenInteractionDialog,"$sunrider_findSunrider_target score:1000
!$sunrider_findSunrider_seenNightmares","ShowImageVisual SunriderDerelict
Sunrider_PlayInteractionMusic SunriderDiscover true","Your $shipOrFleet approaches what seems to have been another battlefield, but with exclusively green and red pieces of destroyed armor. Apparently, these ships were broken apart so badly that you can't even tell if they were frigates or cruisers, however, one recognizable capital-sized vessel can be seen in the distance.

Although there are ships in Sector service today have been fixed from worse, it's not a design your TriPad knows of. Whatever brought her here was... pretty rough on the hull, but certainly not as merciless as it was on everything else around her.

",sunrider_findSunrider_wreck1:Continue,
sunrider_findSunrider_wreck1,DialogOptionSelected,$option == sunrider_findSunrider_wreck1,,"With Ava in your bridge, you ask her ""is this your ship?"" 

She doesn’t answer, then you soon notice that she's wiping a tear from her eye.","sunrider_findSunrider_wreck2:""Ava?""",
sunrider_findSunrider_wreck2,DialogOptionSelected,$option == sunrider_findSunrider_wreck2,,"She recovers her composure and answers ""Yes, that is the Sunrider. I’m sorry, but she is looking worse than I can remember."" 

Even as a silent, fractured wreck, the ship bears a regal dignity; you can sense some of the spirit she had in life. She might be one of a kind.",sunrider_findSunrider_wreck3:Continue,
sunrider_findSunrider_wreck3,DialogOptionSelected,$option == sunrider_findSunrider_wreck3,"$sunrider_findSunrider_seenNightmares = true
ShowImageVisual SunriderNM
Sunrider_PlayInteractionMusic SunriderBoss true","As you’re about to give orders to your salvage team, your sensor officer reports ""$PlayerSirOrMadam, we detected a couple of small units emerging from the wreck."" 

The screen displays what appears to be a pair red humanoid machines with up to four weapons. Frigate-sized, presumably not much of a threat to your $shipOrFleet —

""Captain, watch out!"" Ava shouts urgently, her eye going wide.","sunrider_findSunrider_wreck4:""What?""",
sunrider_findSunrider_wreck4,DialogOptionSelected,$option == sunrider_findSunrider_wreck4,"SunriderSalvageDefenderInteraction
$hasDefenders = true","""Those are Nightmares, $playerSirOrMadam! Standard automated Ryuvian infantry. It doesn’t look like a real threat due to its size, but I've faced these monstrosities before... they can sink a battleship effortlessly!""

With one eye on the sensor display, you realize you have now need to decide whether to engage or retreat right now.",,
sunrider_findSunrider_wreckRematch1,OpenInteractionDialog,"$sunrider_findSunrider_target score:1000
$sunrider_findSunrider_seenNightmares
!$defenderFleetDefeated",ShowImageVisual SunriderNM,"Your $shipOrFleet approaches the Sunrider.

The Nightmares appear to be holding position beside the ship. You could take them on now, if you're feeling confident.",sunrider_findSunrider_wreckRematch2:Continue,
sunrider_findSunrider_wreckRematch2,DialogOptionSelected,$option == sunrider_findSunrider_wreckRematch2,SunriderSalvageDefenderInteraction,"You order your $shipOrFleet to get closer to the wreck. The Nightmares move to intercept.

Beside you, Ava gazes calmly at the tactical display.",,
sunrider_findSunrider_wreckWin,BeatDefendersContinue,$sunrider_findSunrider_target score:1000,Sunrider_PlayInteractionMusic,"Your entire crew is impressed, some of them don't even know how to react at something so small and easily underestimated, but unexpectedly powerful and difficult to destroy.

However, the whole situation sounds even more bizarre when Ava says ""well, at least they were malfunctioning and missing the blade.""","sunrider_findSunrider_wreckWin2:""They. What?""",
sunrider_findSunrider_wreckWin2,DialogOptionSelected,$option == sunrider_findSunrider_wreckWin2,,"Literally everyone that heard this stares at her and she nods at you, ""The ones I fought before were more terrifying than this. They had a much larger shield that was immune to energy damage and could cover multiple units, a point-defense system that would stop every single missile or torpedo and a sharp blade that could cut even through heavy armor."" She looks dead serious as she tells you that.

You want to say something, but all you can do right now is put your hands on your forehead and wonder: what in Ludd’s name did you just fight and if this woman is not joking, how did she survive previous encounters against machines worse than that? 

After taking a few seconds to digest this information, you’re safe to start the Sunrider’s recovery.",sunrider_findSunrider_wreckWin3:Continue,
sunrider_findSunrider_wreckWin3,DialogOptionSelected,$option == sunrider_findSunrider_wreckWin3,ShowImageVisual SunriderDerelict,"After the salvor drones look over the hull and your chief engineer examines the scan data with help from Ava, a report is ready for you within the hour.

""You don't ask for much, do you, commander? To begin with, this thing isn't even Domain, meaning we don't exactly have any blueprints for this, or even any safe assumptions about how it's built.

Ava nods. ""That was part of why Jinta didn't recover it himself. That, and his fleet was configured for phase operations at the time, not salvage and recovery.""",sunrider_findSunrider_wreckWin4:Continue,
sunrider_findSunrider_wreckWin4,DialogOptionSelected,$option == sunrider_findSunrider_wreckWin4,"Highlight 600
FireBest SunriderRecoverOptions","""Still, it can be done. Especially with Commander Crescentia here,"" a nod at Ava, ""helping us figure it out. I've got my team working out a detailed plan now... but it'll cost 600 supplies"".

Your bridge crew and guest look at you, all awaiting your decision.","sunrider_findSunrider_recover1:Order recovery operation
defaultLeave:Leave",
sunrider_findSunrider_wreckAfterWinReturn,OpenInteractionDialog,"$sunrider_findSunrider_target score:1000
$sunrider_findSunrider_seenNightmares
$defenderFleetDefeated","ShowImageVisual SunriderDerelict
Highlight 600
FireAll SunriderRecoverOptions","Your $shipOrFleet approaches the ship.

The wreckage of the Sunrider is still here. It's going to need 600 supplies to recover.","sunrider_findSunrider_recover1:Order recovery operation
defaultLeave:Leave",
sunrider_findSunrider_recoverOpts,SunriderRecoverOptions,$player.supplies < 600,"SetEnabled sunrider_findSunrider_recover1 false
SetTooltip sunrider_findSunrider_recover1 ""You only have $player.supplies supplies.""
SetTooltipHighlightColors sunrider_findSunrider_recover1 bad
SetTooltipHighlights sunrider_findSunrider_recover1 $player.supplies",,,
sunrider_findSunrider_recover1,DialogOptionSelected,$option == sunrider_findSunrider_recover1,"AddCommodity supplies -600
Sunrider_PlayInteractionMusic SunriderRecover true","Stitching together a bisected ship remains more an art than a technical discipline, but your crew know their business and get to work. Actually reconnecting the hull segments will take some time, but it's not long before they have power and air in the main compartments.

Ava asks your permission to go inside. Since she knows the Sunrider better than anyone, it should not be a bad idea.","sunrider_findSunrider_recover2Short:Detach a small team to accompany her [fast dialog]
sunrider_findSunrider_recover2:Offer to go with her
sunrider_findSunrider_recover2Lewd:Take her hand",
sunrider_findSunrider_recover2,DialogOptionSelected,$option == sunrider_findSunrider_recover2,"$option = sunrider_findSunrider_recover3
FireBest DialogOptionSelected","Your offer takes her by some surprise, but then she says ""as you wish, $playerSirOrMadam.""",,
sunrider_findSunrider_recover2Short,DialogOptionSelected,$option == sunrider_findSunrider_recover2Short,ShowImageVisual SunriderAvaSalute,"You give the order, and a couple of crew members are sent up to accompany Ava over to the ship.

Several hours later, your crew reports that the ship and the odd-looking mech ""fighters"" inside its hangar bays can probably fly right now, despite the difficulties of dealing with foreign technology. However, some of the weapons in the ship could not be recovered; with a curious exception: the very large spinal beam weapon.

A few more minutes later, the ship starts up and hails you. As you open the comm link, Ava appears and salutes you sharply.

""The Sunrider is at your disposal, captain.""","sunrider_findSunrider_contract1:""Welcome to my fleet, Sunrider.""",
sunrider_findSunrider_recover2Lewd,DialogOptionSelected,$option == sunrider_findSunrider_recover2Lewd,"ShowImageVisual SunriderBlush
AdjustRepPerson sunrider_ava WELCOMING 5","You turn slightly towards her and take her hand in yours. ""Shall we?""

For the first time since you met her, she blushes. After a few seconds, she hastily turns her crimson-tinged face away, muttering, but not pulling her hand away.

""...Dummy.""",sunrider_findSunrider_recover3:Continue,
sunrider_findSunrider_recover3,DialogOptionSelected,$option == sunrider_findSunrider_recover3,ShowImageVisual SunriderDerelict,"You accompany her down to the shuttle bay, then on the ride to the Sunrider.

It's not clear whether the pilot is intentonally looping part way around the ship, but this gives the both of you a good look at the once-magnificent vessel. Ava stares quietly out the window all the way in.",sunrider_findSunrider_recover4:Continue,
sunrider_findSunrider_recover4,DialogOptionSelected,$option == sunrider_findSunrider_recover4,ShowImageVisual SunriderBridge,"The two of you arrive on the bridge, where a team of technicians is trying to get the computers working again. This might be a good time to ask her just what happened here.

Ava tells you that the Sunrider, along with a few ""Alliance"" ships were investigating strange activity within ""Ryuvian"" derelict site, but were ambushed by automated defenses. You can’t help but wonder what those names are about since this is the first time you've heard them and can only think that they were defeated by more Nightmares.

""The fighting was chaotic,"" she says, perhaps more to herself than to you. ""And just when I thought we were done for, there was an... anomaly from the site itself. Would explain how the ship, and I, ended up here."" 

She looks away wistfully. ""It seems we should have left well enough alone. Ancient lost technology... may as well have been magic, to fallen ones like us...""",sunrider_findSunrider_recover5:Continue,
sunrider_findSunrider_recover5,DialogOptionSelected,$option == sunrider_findSunrider_recover5,,"Once everything is (mostly) wired together again, they boot everything up. Unfortunately, Ava doesn’t seem to remember more than what she already told you and the ship had a partial loss of logs. 

After some investigation, your crew can only assume that the ship was evacuated months, or maybe a few cycles ago, and the fact that the Sunrider’s escape pod bays are empty reinforces this theory. 

""It does look like everyone escaped, except me,"" she says. ""Jinta’s crew said that there wasn’t a single dead body in or around the ship and I was unconscious, but still alive in the only room that was not exposed to the vacuum.""",sunrider_findSunrider_recover6:Continue,
sunrider_findSunrider_recover6,DialogOptionSelected,$option == sunrider_findSunrider_recover6,ShowImageVisual SunriderQuarters,"You move on with your tour of the mostly-deserted ship.

In the captain's quarters, strewn with the ruins of what was once a man's home, Ava places her live hand on the desk table. ""Kayto, Asaga, Icari... I will never see them again,"" she whispers. ""Sola, Kryska...""

She suddenly freezes and death stares at a tall pile of paper in a tray named ""to do"" near a small pile in the other tray named ""done,"" then speaks slowly and in an unusual manner ""He. Did. Not. Finish. The. Paperwork!""

You put a hand on her shoulder and ask ""Are you okay, Ava?"" She answers ""Yeah, apologies. That was out of habit.""",sunrider_findSunrider_recover7:Continue,
sunrider_findSunrider_recover7,DialogOptionSelected,$option == sunrider_findSunrider_recover7,,"Your crew reports that the ship and the mech-looking fighters inside her hangar bays can probably fly right now despite their difficulty dealing with the unusual technology. However, many of the ship’s weapons could not be recovered, with a curious exception: the very large spinal weapon. 

Ava's eye flickers at the mention of this, but she waits for the report to conclude. Once it’s done, she asks ""did they fix the Vanguard Cannon?""

""Vanguard Cannon?""

She explains that this is the most powerful weapon of the Sunrider, capable of piercing through multiple enemy units and that it sunk the ""Super Dreadnought Legion."" You guess that she's not talking about the Domain's Legion-class battlecarrier, but that’s a story for another game.",sunrider_findSunrider_recover8:Continue,
sunrider_findSunrider_recover8,DialogOptionSelected,$option == sunrider_findSunrider_recover8,"ShowImageVisual SunriderSB
Sunrider_PlayInteractionMusic SunriderClaude true","As you walk a bit more, you find the sick bay. Ava whispers ""Claude..."" and when you look at her, she shakes her head, ""she was just a perverted weirdo,"" but then whispers again, ""I hate to admit it, but I miss her too.""",sunrider_findSunrider_recover9:Explore the sick bay,
sunrider_findSunrider_recover9,DialogOptionSelected,$option == sunrider_findSunrider_recover9,,"Everything in the sick bay looks remarkably intact. The medical equipment looks as exotic as the rest of the ship, but they’re probably replaceable if they run out or break, but only time will tell. 

The doctor’s office is looking quite a mess; likely caused by gravity, and coincidentally enough, a bottle of medicine falls off a half-open shelf in the wall shortly after you enter the room.","sunrider_findSunrider_recover10:Leave the sick bay
sunrider_findSunrider_recoverClaudeSpecial:Open the shelf out of curiosity",
sunrider_findSunrider_recoverClaudeSpecial,DialogOptionSelected,$option == sunrider_findSunrider_recoverClaudeSpecial,,"You open the shelf. It seems to contain this Claude's most prized personal possession. You close the shelf.

You look at Ava... she is facepalming and says in a lower voice ""don't even ask"" when she notices your awkward gaze.",sunrider_findSunrider_recover10:Continue,
sunrider_findSunrider_recover10,DialogOptionSelected,$option == sunrider_findSunrider_recover10,"ShowImageVisual SunriderEngineering
Sunrider_PlayInteractionMusic SunriderRecover true","As you continue, you find the engineering section, battered but still serviceable, Ava puts a hand on her chin and examines the room for a while. ""My goodness,"" she says. ""The warp is still functional.""

""Warp?""

Ava gives details about the ""ultra-accurate Short-Range Warp"" system, which to you, sounds like a more potent version of the Hyperion’s Phase Teleporter.",sunrider_findSunrider_recover11:Continue,
sunrider_findSunrider_recover11,DialogOptionSelected,$option == sunrider_findSunrider_recover11,ShowImageVisual SunriderHangar,"The last interesting stop on your tour is the hangar bay. Seven humanoid mechs stand in their respective cradles, tall and magnificent.

Ava is taken aback at the sight. ""I don't understand,"" she says. ""They should all have been launched in combat.""

She shakes her head, then explains that these are the ""ryders"" that joined the Sunrider one by one in her journey. Black Jack, Liberty, Phoenix, Bianca, Seraphim, Paladin, Havoc... now they're yours to command. 

Thankfully, there are enough logs about them for your fighter pilots to try them out in the simulator, thus using them in battle will probably not be a problem. However, you realize that the hangar has room for up to twelve of these.","sunrider_findSunrider_recover12:""Where are the other five?""",
sunrider_findSunrider_recover12,DialogOptionSelected,$option == sunrider_findSunrider_recover12,,"""We never had more than seven. But I'm not sure if the technology in this sector will be able to maintain even these, nor if the Sunrider is compatible with this sector’s fighters.""

The two of you consider this for a while. After conferring with your engineering chief, you decide to use the remaining five bays for spares and equipment to support the existing ryders. Seven should be plenty to get the job done.",sunrider_findSunrider_contract1:Continue,
sunrider_findSunrider_contract1,DialogOptionSelected,$option == sunrider_findSunrider_contract1,"ShowImageVisual SunriderAvaSmile
Call $global.sunrider_findSunrider_ref printSkills","It's time to negotiate an officer's contract with Ava, as promised.

Along the way, you ask: ""Why do you want to work for me?""

She pauses for a moment, then looks you in the eye. ""First of all, no matter what planet, galaxy or universe, we all need to make a living, don't we? And after seeing what fate had in store for me, I can't just let my talents go to waste. I may look young, but I have experience commanding an assault carrier. Not to brag, but I think I ran the Sunrider quite well."" Even though it's slight, you see her smile for the first time before she continues. ""Secondly, I see something in you, $playerSirOrMadam, something I saw in my former captain, Kayto Shields.""",sunrider_findSunrider_contract2:Hire Ava,
sunrider_findSunrider_contract2,DialogOptionSelected,$option == sunrider_findSunrider_contract2,"Call $global.sunrider_findSunrider_ref complete
ShowImageVisual SunriderAvaSaluteNoBG","""Thank you very much, captain $playerName."" She salutes. ""I will serve you to the best of my ability, on my honor as an officer of the Cera Space Force.""",sunrider_findSunrider_dismissDialog:Complete the recovery and depart,
sunrider_findSunrider_dismissDialog,DialogOptionSelected,$option == sunrider_findSunrider_dismissDialog,"Sunrider_PlayInteractionMusic
DismissDialog",,,
#END Ava quest,,,,,,
,,,,,,
# Ava quest 2,,,,,,
sunrider_mission2_barOpt,AddBarEvents,"!$global.sunrider_seenMission2
!$global.sunrider_mission2_delay
Sunrider_MiscFunctions canShowMission2","AddBarEvent sunrider_mission2_barEvent ""Consider calling Ava down for a chat"" ""You've got some time to have a talk with Ava Crescentia. This looks like a good setting for it."" highlight",,,
sunrider_mission2_intro0,DialogOptionSelected,$option == sunrider_mission2_barEvent,$global.sunrider_seenMission2 = true,"Previously, you helped Ava Crescentia recover the Sunrider, but many things are yet unexplained. The unique ship and automated defenses, her unique uniform, and the names she mentioned... names that nobody in your fleet, or anywhere in the Sector have heard about before. 

In addition, you ran a background check because such a talented officer wouldn’t be anonymous for long. Yet it’s like she didn’t exist until she was rescued by a former salvage captain, now retired.","sunrider_mission2_intro1:Call Ava
sunrider_mission2_introAbort:Put it out of your mind [terminates quest]",
sunrider_mission2_intro1,DialogOptionSelected,$option == sunrider_mission2_intro1,"ShowImageVisual SunriderAvaNeutral
SetStoryOption sunrider_mission2_intro2c 0 bonusXP_fake_opt_id ui_char_spent_story_point ""Made a metatextual reference in a conversation""","After taking a shuttle down to the local spaceport, Ava arrives at the bar and takes a spot opposite yours at the table. Two glasses are waiting.

She picks up a glass, brings it halfway to her lips, then stops. ""Oh, pardon my rudeness... cheers!""","sunrider_mission2_intro2a:Say ""cheers"" too
sunrider_mission2_intro2b:Compliment her
sunrider_mission2_intro2c:Compliment her in a metafictional manner
#sunrider_mission2_intro3:Ask where she comes from",
sunrider_mission2_intro2a,DialogOptionSelected,$option == sunrider_mission2_intro2a,AdjustRepPerson sunrider_ava WELCOMING 1,"Your glasses meet, and you imbibe the alcoholic beverage as Ava does the same.

With the ice broken, it's time to get to the point...",sunrider_mission2_intro3:Ask where she comes from,
sunrider_mission2_intro2b,DialogOptionSelected,$option == sunrider_mission2_intro2b,AdjustRepPerson sunrider_ava WELCOMING 3,"You praise Ava’s capabilities and say that it’s unusual to find a young-looking lady more skilled at commanding a ship than most officers known in the sector

She bows her head slightly and says ""Thank you, but just doing my work as your officer, captain.""",sunrider_mission2_intro3:Ask where she comes from,
sunrider_mission2_intro2c,DialogOptionSelected,$option == sunrider_mission2_intro2c,"ShowImageVisual SunriderAvaSmile
AdjustRepPerson sunrider_ava WELCOMING 3","You compliment Ava’s capabilities and say that it’s not usual to find a level 8 young-looking officer with eight elite skills. That's as good as an integrated Alpha Core. 

She chuckles and looks around, saying ""No, no, no! Don't break the fourth wall here. If someone eavesdrops on us, they’ll think we’re weirdos."" You look around as well and notice that a random person did hear you because they make a weird face at both of you, mumbling ""wtf?"" before walking away.",sunrider_mission2_intro3:Ask where she comes from,
sunrider_mission2_intro3,DialogOptionSelected,$option == sunrider_mission2_intro3,ShowImageVisual SunriderAvaNeutral,"You decide to get to the point, asking about her origins from a place no-one has heard of. Perhaps another galaxy entirely.

She sighs. ""I don't know what I can tell you, captain. I can describe the world I came from, and all the other worlds I've been to, and the powers that ruled them, but... will that mean anything to you, here in the Sector?""

This is true, but it still seems important to know about wherever she came from. Especially if people and ships -- including hostile ones -- could travel from there to here.",sunrider_mission2_intro4:Continue,
sunrider_mission2_intro4,DialogOptionSelected,$option == sunrider_mission2_intro4,BeginMission sunrider_mission2,"She thinks for a while. ""There were some corrupted sectors in the Sunrider's memory core. If we had an expert data recovery team do a deep analysis on them, we might find some useful information. A map, or even a stored encyclopedia.""

That's worth a shot, at least.

You have a few options here. A Tri-Tachyon facility might have the AI-supported know-how to recover data even from alien hardware and software like the Sunrider, with Ava helping them. If you have planets of your own, there might also be some people like that. For that matter, do you know anyone at the Galatia Academy who might be able to do it?

The two of you nurse your drinks while mulling this over.

""With your leave, captain, I'd like to return to my ship and make the necessary preparations,"" Ava says, a bit after emptying her glass. ""Thank you for the drink.""","sunrider_mission2_intro5:See her off
sunrider_mission2_intro5Lewd:Take her arm and escort her to the shuttle",
sunrider_mission2_intro5,DialogOptionSelected,$option == sunrider_mission2_intro5,BarCMD returnFromEvent false,"Ava turns around and departs the bar, leaving you to continue scouting the bar for opportunities.",,
